permit,permit type,permit subtype,parcel,date entered,date issues,cost,address,city,state,subvision,contact,permit type,permit subtype,ivr tracking,purpose,district,longitude,latitude,object id,zip code
D2021082367,Building Use & Occupancy,"Retail, Department / Retail Stores",16400031600,2021-12-29,,877171,3532 MURFREESBORO PIKE,ANTIOCH,TN,LOT 5 MT. VIEW MARKETPLACE REVISION,WIMCO Corp,CAUO,CAF20M001,4073424,"REJECTED: INCORRECT PERMIT TYPE, CACR PERMIT TYPE REQUIRED. MUST INITIATE NEW PERMIT APPLICATION ONLINE WITH PROPER APPLICATION TYPE (CACR).      Interior deli remodel of Publix Supermarket",8,-86.61510283,36.05330041,11,37013
D2022000259,Building Residential - Rehab,"Multifamily, Tri-Plex, Quad, Apartments",08116049000,2022-01-03,,0,1206 PHILLIPS ST,NASHVILLE,TN,LOT 41 PT 40 HARDING PLAN,HUFFINE FIRST SERVICE,CARR,CAA03R398,4075803,Cosmetic renovations and window replacements on the entire building.,21,-86.79894912999998,36.16965871,12,37208
D2022009281,Building Residential - New,Single Family Residence,07216027500,2022-02-10,,0,1503 DUGGER DR,NASHVILLE,TN,LOT 41 DUGGER HGTS,Bonham Builders LLC,CARN,CAA01R301,4080432,"REJECTED FOR THE FOLLOWING REASONS: APPLICANT HAS NOT PROVIDED STAMPED SITE PLAN AND CONTEXTUAL SURVEY PLAN TO DETERMINE FRONT SETBACK. EMAIL DIRECTLY TO: THOMAS.CORCORAN@NASHVILLE.GOV. PERMIT APPLICATION NUMBER MUST BE IN SUBJECT LINE TO PROCESS.      To construct a single family residence HPR at 1503 Dugger Drive. Total heated square footage is 2694 Square foot unheated is front porch 52 sqft, Back porch 150 sqft , garage at 379 sqft totaling 3,275 sqft  under roof.   must provide a sign stating the companies name and phone number for the accepted times to work during the week. must comply with the tree ordinance to add a 2 caliper tree for every 30 feet of road frontage.",7,-86.71223182999998,36.19285121,13,37206
D2022012278,Building Residential - New,"Accessory Structure, Pools - Residential",087100A03700CO,2022-02-23,,109000,501 KEMP DR,HERMITAGE,TN,LOT 137 AARONS CRESS PHASE 1B,Sundaze Pool And Spa,CARN,CAA14U017,4094239,Building a 16x32 pool with 7x7 round spa in yard,12,-86.57893865,36.18022202,14,37076
D2022013918,Building Residential - New,Single Family Residence,10401047600,2022-07-15,,252228,411 MCADOO AVE,NASHVILLE,TN,LOT 94 WEST END PARK TERRACE,ART BUILDING INC,CARN,CAA01R301,4104662,"The parent parcel number is 10401047600, is zone code OV-IMP, contains 0.07 Acres. Proposed horizontal property line regime with 2,228 Square Feet of living area, 284 SF attached garage,58 SF of front porch area, 122 SF of exterior deck area. 32.9’ min. front s/b, 3’ min. side s/b and 20’ min rear s/b, must comply with tree regulations one new 2” tree for every 30’ of road frontage, for every 50’ of site frontage, a 24”x36” sign must be placed in English and Spanish with information in regard to metro council 2017-835. Must comply with metro council bills 2014-725 and 2014-770. max allowed height is 45' three floors max. min required distance between structures is 6' min with no bump outs.",24,-86.82371691999998,36.14587695,15,37205
D2022016573,Building Residential - New,Single Family Residence,07216027200,2022-03-14,,452529,1509 DUGGER DR,NASHVILLE,TN,LOT 44 DUGGER HGTS,Gill design & Construction,CARN,CAA01R301,4114547,PERMIT APPLICATION CANCELLED:  APPLICATION D2022016573 INCOMPLETE   MUST HAVE CORRECT PARCEL NUMBER  MUST INCLUDE CONTEXTUAL SURVEY STAMPED BY RLS  MUST INCLUDE SITE PLAN STAMPED BY RLS  MUST INCLUDE FRONT ELEVATION WITH GARADES/HEIGHT STAMPED BY RLS  NEW PERMIT APPLICATION MUST BE INITIATED BY APPLICANT    Build from Ground up New construction home 2559 SF,7,-86.71207728999998,36.19343128,16,37206
D2022016579,Building Residential - New,Single Family Residence,07216027200,2022-03-16,,756616,1509 DUGGER DR,NASHVILLE,TN,LOT 44 DUGGER HGTS,Gill design & Construction,CARN,CAA01R301,4114609,PERMIT APPLICATION CANCELLED:  APPLICATION D2022016579 INCOMPLETE   MUST HAVE CORRECT PARCEL NUMBER  MUST INCLUDE CONTEXTUAL SURVEY STAMPED BY RLS  MUST INCLUDE SITE PLAN STAMPED BY RLS  MUST INCLUDE FRONT ELEVATION WITH GARADES/HEIGHT STAMPED BY RLS  NEW PERMIT APPLICATION MUST BE INITIATED BY APPLICANT    Build single family new Construction from the ground up. 2529SF,7,-86.71207728999998,36.19343128,17,37206
D2022019946,Building Use & Occupancy,"Bar Or Nightclub, Tavern And Bars",09306307600,2022-03-24,,3000000,416 B BROADWAY,NASHVILLE,TN,PT LOT 81 ORIGINAL TOWN OF NASHVILLE,IKON Construction,CAUO,CAF06A204,4125059,Interior renovation of the existing first floor and mezzanine level. Extensive interior renovation of the second floor which includes structural steel framework and new floor system. New steel structure and interior build-out of a new third floor. Third floor addition includes a private roof top patio seating area. Addition to the rear of the facility mainly to incorporate a new elevator. Minor modification and or replacement of the existing exterior windows.,19,-86.77798241,36.16088348,18,37203
D2022055011,Building Demolition Permit,Demolition Permit - Commercial,09210038300,2022-08-12,,200000,2500 CHARLOTTE AVE,NASHVILLE,TN,LOT 1 MEDICAL MART RESUB LOT 1,Thomas Johnson,CADM,CAZ01A002,4192869,na,21,-86.81386567,36.15551817,19,37209
D2023002915,Building Residential - Rehab,Single Family Residence,11705004800,2023-01-20,,0,3602 HAMPTON AVE,NASHVILLE,TN,LOT 32 PT 33 HENRY SPERRY,Alpha-Omega Remodeling,CARR,CAA01R301,4247077,Kitchen remodel ,24,-86.82733329,36.11780814,20,37215
D2023006962,Building Residential - Rehab,Single Family Residence,06215000700,2023-02-01,,225000,2605 LISHWOOD DR,NASHVILLE,TN,LOT 126 SEC 3 SUTHERLAND HGTS,BUILD GROUP LLC,CARR,CAA01R301,4258763,"Full Gut of house down to the studs. We are replacing every aspect of this house except the HVAC equipment and exterior cladding. All other components of this house will be replaced.  no increase to building footprint.  remains single family residence.  only one kitchen allowed in residence.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",15,-86.68505856,36.21857864,21,37214
D2023014026,Building Residential - Addition,Single Family Residence,12912005600,2023-03-03,,35984,1001 PERCY WARNER BLVD,NASHVILLE,TN,LOT 252 SEC 1 WARNER PARK VALLEY,BRODERICK BUILDERS INC,CARA,CAA01R301,4279927,"To construct a 744 sq ft carport addition to the south side of the existing single-family residence, per plan.     THE HOLDER OF THIS PERMIT HEREBY CERTIFIES THAT ALL CONSTRUCTION AND DEMOLITION WASTE WILL BE DISPOSED IN AN APPROVED LANDFILL. THE HOLDER OF THIS PERMIT ALSO CERTIFIES THAT NO CONSTRUCTION OR DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISIONS OF THE METROPOLITAN CODE.    FOR EVERY 50 FEET OF SITE FRONTAGE, A DOUBLE-SIDED SIGN 24” X 36” IN SIZE MUST BE POSTED IN ENGLISH AND SPANISH THAT CONTAINS THE INFORMATION REQUIRED BY ORDINANCE NO. 2017-835. NO MORE THAN THREE SIGNS ARE REQUIRED.",23,-86.88111431999998,36.09013079,22,37205
D2022005259,Building Residential - New,Single Family Residence,072164Z00100CO,2022-01-25,,348983,0 UNKNOWN,NASHVILLE,TN,UNIT A HOMES AT 1527 HAYDEN DRIVE,Jackson Builders,CARN,CAA01R301,4083208,"REJECTED FOR THE FOLLOWING REASONS: APPLICANT HAS NOT PROVIDED STAMPED SITE PLAN  AND CONTEXTUAL SURVEY PLAN TO DETERMINE FRONT SETBACK.  EMAIL DIRECTLY TO: THOMAS.CORCORAN@NASHVILLE.GOV. PERMIT APPLICATION NUMBER MUST BE IN SUBJECT LINE TO PROCESS.    To construct ...Unit A… of HPR attached duplex with 2643sf heated and cooled and 245sf porches/decks and 345sf of garage. units detached. max allowed height is 45' three floors max. 36.7' min front s/b; must comply with tree regulations one new two inch tree for every 30' road frontage. for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",7,-86.92575644,36.0879214,23,0
D2023027056,Building Residential - New,"Multifamily, Tri-Plex, Quad, Apartments",09203002900,2023-04-25,,0,2405 E JEFFERSON ST,NASHVILLE,TN,PT. LOT 22 HOLMAN RESUB. CLARK.,"ViViD1 Builders, LLC",CARN,CAA03R398,4311444,"Permit not required by zoning    The work for this permit is for the Common Area, which includes an irrigation system.",21,-86.8130761,36.16848316,24,37208
D2023029429,Building Demolition Permit,Demolition Permit - Residential,06108020400,2023-05-04,,20000,1130 WINDING WAY,NASHVILLE,TN,LOT 11 SEC 1 BLK C JACKSON PARK,LESUEUR CONSTRUCTION CO,CADM,CAZ01A001,4318467,"Demo existing home in need of much repairs sitting on 2 lots to build new residence.  not to be burned on lot.  RS10 Zoning.  MHZC MUST REVIEW APPLICATION.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",7,-86.72178615999998,36.22628325,25,37216
D2023033242,Building Residential - New,Single Family Residence,110020C01000CO,2023-05-19,,2943,879 ASHTON PARK WAY,MOUNT JULIET,TN,LOT 10 ASHTON PARK PH 1,DREES PREMIER HOMES INC,CARN,CAA01R301,4326168,Ashton Park lot 10.  To build a two story home for new construction with 2223 sq ft living space and 448 sq ft garage and 142 sq ft covered porch and 130 sq ft uncovered deck,12,-86.56999519,36.14889591,26,37122
D2023069676,Building Residential - New,Single Family Residence,09008023600,2023-09-19,,358468,738 CROLEY DR,NASHVILLE,TN,LOT 65 SEC 1 MOSS WOOD SUB,SUMMIT BUILDERS CORP,CARN,CAA01R301,4384764,"To construct a 2730.5SF single-family residence with 529SF garage and 80SF porch. 5' min. side setbacks, 20' min. rear setback. front setback at ' per average. Not to be over any easements or setbacks. I certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Also, I certify that no construction & demolition waste will be stored on the property in violation of any provision of the Metro Code.",20,-86.87417164999998,36.1601198,27,37209
D2023073148,Building Residential - Rehab,Single Family Residence,08208000300,2023-09-27,,7272,816 N 6TH ST,NASHVILLE,TN,LOT 52 J B HAYNIES MILLERS ADDN,MLS CONSTRUCTION LLC,CARR,CAA01R301,4389874,"Pulling building permit on front property so that we can do a service upgrade from 100 to 200 amps.  SP Zoning.  remains single family residence.  no increase to building footprint.  only one electric meter allowed for this residence.  only one kitchen allowed in residence.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",5,-86.76225175,36.18526371,28,37207
D2023077192,Building Residential - Rehab,"Multifamily, Townhome",11905025100,2023-10-10,,30000,2510 D FOSTER AVE,NASHVILLE,TN,LOT 174 RESUB 3-4-5 & 6 CUMBERLAND NURSERIES,"FOUND REAL ESTATE, LLC",CARR,CAA03R301,4396057,"Update existing with new cabinets, flooring, windows, tile and hvac. ",16,-86.74296327,36.11734523,29,37210
D2023090397,Building Residential - New,Single Family Residence,04312004000,2023-11-16,,0,131 EAGAN CIR,MADISON,TN,LOT 38 BLK B MYATT-EAGAN SUB,KIPU CONSTRUCTION LLC,CARN,CAA01R301,4415652,new build ,9,-86.67978182999998,36.26409851,30,37115
D2023093267,Building Residential - Addition,Single Family Residence,11703010000,2023-11-27,,0,2709 SHARONDALE CT,NASHVILLE,TN,LOT 8 HILLSBORO CIRCLE,HUFFINE FIRST SERVICE,CARA,CAA01R301,4419684,"Project scope incomplete, Site plan and floor plans required, please submit to zoninghelpdesk@nashville.gov so a review can be scheduled.  Make sure that you provide the permit number in the subject line.    ADDITIONS TO RESIDENCE",24,-86.80932788,36.12244723,31,37215
D2023093160,Building Residential - New,"Accessory Structure, Pools - Residential",18700000600,2023-11-27,,0,6636 B BURKITT RD,ANTIOCH,TN,N SIDE BURKETT RD E OF WHITTEMORE LN TRACT 5 & 6,Dream Acres Pool Company,CARN,CAA14U017,4419561,"SITE PLAN, PROOF OF POOL ALARM PURCHASE AND COST REQUIRED.    TO INSTALL [DIMENSIONS REQUIRED] INGROUND POOL TO REAR OF EXISTING RESIDENCE … …10’ MINIMUM SIDE SETBACK… …10’ MINIMUM REAR SETBACK… …NOT TO INSTALL OVER OR OBSTRUCT ANY EASEMENTS… …AS OF JANUARY 1, 2011, THE TENNESSEE GENERAL ASSEMBLY REQUIRES THAT ALL RESIDENTIAL POOLS/ HOT TUBS GREATER THAN 36  IN DEPTH SHALL INSTALL A POOL ALARM BEFORE USING OR MAKING AVAILABLE FOR USE A SWIMMING POOL… …MUST COMPLY WITH APPLICABLE FENCING CODES/REQUIREMENTS… …",33,-86.64516863999998,35.99286987,32,37013
D2024017651,Building Residential - New,Single Family Residence,07107017200,2024-03-19,,2904,1717 LUTON ST,NASHVILLE,TN,PT LOT 14 RESUB LUTONS ADDITION,X5 CONSTRUCTION LLC,CARN,CAA01R301,4462651,"To construct one detached HPR - 1717 B Luton St.  2326 SF single family residence (HPR) with 578Sf attached garage.  5' min. side setback, 6' min distance from Unit A and 20' min. rear setback, not to be over any easements. unit detached. maximum allowed height is 45' three floors maximum. minimum required distance between structures is 6' minimum with no bump outs. ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code* For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.* For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required.***. must comply fully with metro council bills 2014-725 and 2014-770.",5,-86.76735282999998,36.20446692,33,37207
D2023095926,Building Residential - New,"Accessory Structure, Garage",13008004700,2023-12-05,,184596,4327 B SNEED RD,NASHVILLE,TN,PT LOT 11 BELLE MEADE ANNEX ALSO PT LOT 9 COMPTONWOOD,"Music City Renovations & Construction, LLC",CARN,CAA14U009,4423374,"To construct a new, 1-story, 2-car garage (739 SF +/-). Construction of the new garage and apron are to be per architectural plans, provided by Owner (see attachment). The property setbacks and zoning variance on shown on attached architectural and surveyor drawings & plans. Electrical services to be added per required building codes. Property to remain a single family residence.  Owner has selected to not pursue interior renovations at this time.",34,-86.83745389,36.09693478,34,37215
D2024021478,Building Residential - Roofing / Siding,Single Family Residence,155160A09600CO,2024-03-07,,0,4804 TRACEWAY DR,NASHVILLE,TN,LOT 151 TRACESIDE SEC 3,"The Contractors Group, Inc",CARK,CAA01R301,4474377,"•Frame a new roof structure over the deck with 6 x 6 columns, rafters, 12’ overhangs around the perimeter. We will match shingles, aluminum trim and gutters as close as possible  Replace existing deck boards with composite deck boards, using existing framing.",35,-86.96221493999998,36.03651923,35,37221
D2024025699,Building Residential - Rehab,Single Family Residence,09205022800,2024-03-20,,0,907 31ST AVE N,NASHVILLE,TN,LOTS 6 & 7 BLK 27 FISK UNIVERSITY,Southern Comfort HVAC-R ELECTRICAL LLC,CARR,CAA01R301,4445576,redo a bathroom,21,-86.82331035999998,36.161127,36,37209
D2024029187,Building Residential - New,Single Family Residence,06111005900,2024-03-29,,0,929 CURDWOOD BLVD,NASHVILLE,TN,LOT 1 MAPLEWOOD MANOR RESUB LOT 17 AND 18,MAXIM HOMES LLC,CARN,CAA01R301,4490903,To continue Renovation from CARA 2023097171 under New Construction Permit per Inspector.  Inspector requires new construction permit due to amount of new framing. No Change to scope of work. To construct 600SF 2nd story addition as well as renovations to portions of existing dwelling. no change to footprint. to remain single family. ,7,-86.73152571,36.22095799,37,37216
D2024033178,Building Residential - Addition,Single Family Residence,06115017500,2024-04-10,,50576,1122 SUNNYMEADE DR,NASHVILLE,TN,LOT 14 BLK A SUNNYMEADE,WIRED LLC,CARA,CAA01R301,4498449,add 216 sq ft bathroom/closet and 309 sqft of patio to rear of house,7,-86.72531823,36.21720325,38,37216
D2024036378,Building Residential - Addition,"Accessory Structure, Decks",053120B01900CO,2024-07-26,,130,3319 OLD HICKORY BLVD 19,OLD HICKORY,TN,UNIT D3 OLD HICKORY TOWNHOMES,The Covered Patio,CARA,CAA14U015,4504367,"10x13 Insulated Patio Cover White Insulated Panels with Black Posts, Aluminum Screen Room.",11,-86.63483514,36.24504577,39,37138
D2024033879,Building Demolition Permit,Demolition Permit - Commercial,09310021500,2024-04-11,,15000,600 6TH AVE S,NASHVILLE,TN,PT LOT 130 BARROW GROVE,PREMIER CONSTRUCTION,CADM,CAZ01A002,4499593,"to demolish structure to grade.  DTC Overlay.  not to be burned on lot.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",19,-86.77561224999998,36.15349083,40,37203
D2024040378,Building Residential - Rehab,Single Family Residence,08207006000,2024-05-02,,200000,814 STOCKELL ST,NASHVILLE,TN,LOT 99 DR V S LINDSLEY PLAN,Middle Tennessee Renovation LLC.,CARR,CAA01R301,4511978,"Interior renovation on a 4 bedroom 3.5 bath house. All new interior finishes. New Electrical, plumbing and HVAC.",5,-86.76998616999998,36.18519802,41,37207
D2024052079,Building Residential - Addition,Single Family Residence,09116022500,2024-06-07,,0,4202 NEVADA AVE,NASHVILLE,TN,LOT 103 BLK 3 CHARLOTTE PARK CO 1ST ADDN,What’s He Building?,CARA,CAA01R301,4531754,Converting a covered patio into a finished office. Space is currently attached to the main dwelling and sits under the current roof structure. No changes will be made to the current footprint or roof line. ,24,-86.83733366,36.14911047,42,37209
D2024053615,Building Residential - New,Single Family Residence,071090A00200CO,2024-06-12,,0,1535 LOCK RD,NASHVILLE,TN,UNIT 2 LEGACY,CONCORDIA DEVELOPMENT INC,CARN,CAA01R301,4533342,"Construct a 2 story 1,139 square foot single family home.",2,-86.78723130999998,36.19992656,43,37207
D2024056164,Building Residential - Rehab,Single Family Residence,07214019900,2024-06-18,,0,1408 DOUGLAS AVE,NASHVILLE,TN,PT LOT 33 H M DOAKS,CURBIO INC,CARR,CAA01R301,4538290,A building permit is needed for structural work | replacing ridge beam | exterior wall framing,6,-86.74065204,36.1919955,44,37206
D2024073259,Building Residential - Rehab,Single Family Residence,08408010600,2024-08-13,,500000,3005 WINDEMERE CIR,NASHVILLE,TN,LOT 142 SEC 5 LINCOYA HILLS,Middle Tennessee Renovation LLC.,CARR,CAA01R301,4566408,"Interior and exterior renovation. rewiring of the kitchen and lighting. upgraded plumbing to pex and pvc, new windows, trim, paint, doors, cabinets and light fixtures. ",15,-86.67172999999998,36.18331908,45,37214
D2024062695,Building Residential - New,Single Family Residence,071020F01000CO,2024-07-09,,220000,700 STARIA ALY,NASHVILLE,TN,UNIT 10 HAMPTON COTTAGES AMENDED,UNIQUE MANAGEMENT DEVELOPMENT & CONSTRUCTION LLC,CARN,CAA01R301,4548535,Build a Single family 1800 st ft home,2,-86.77927654,36.20905853,46,37207
D2024074091,Building Residential - New,Single Family Residence,091040P00200CO,2024-08-15,,2385,1126 38TH AVE N,NASHVILLE,TN,UNIT B 38TH AVENUE HOMES,The Secal Group,CARN,CAA01R301,4567701,"Order 2021-099 Granted 25 ft front setback and 6 ft separation between structures. RM20 Zoning/UZO. Rejected: Per 17.12.040D. Minimum 10 ft building separation, shown with 6 ft separation. Per 17.12.030C. minimum 30 ft street setback, shown with 19.7 ft street setback. To construct 1 of 2 houses, 1033 A 21st Ave. N with 2385 sq ft of living, 0 sq ft garage, and 795 sq ft of porches and decks. 25 ft front setback per BZA, 5 ft minimum side setbacks, and 20 ft minimum rear setback. Minimum 6 ft separation between structures per BZA. Maximum height of 25.5 ft. Must conform with easements. Sidewalks ARE required for this project because this parcel is within the UZO. You are NOT eligible to contribute to the Pedestrian Benefit Zone in-lieu of construction. Pursuant # 2006-1263 Metro Code of Laws, I (holder OF permit) hereby certify that all construction & demolition waste generated by any & all activities governed by this permit shall be disposed of in an approved landfill. Further, I certify that no construction & demolition waste shall be stored on the property in violation of any provision of Metro Code. For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835. No more than three signs are required.  ",21,-86.8334215,36.16751986,47,37209
D2024074256,Building Demolition Permit,Demolition Permit - Commercial,13414025200,2024-08-15,,9500,1311 ANTIOCH PIKE,NASHVILLE,TN,LOT 1 PASCHALL PROPERTY & RESERVE PARCEL SEC 4A,CONCORDIA DEVELOPMENT INC,CADM,CAZ01A002,4567932,"Demo commercial building.  not to be burned on lot.  CS Zoning with a Corridor Design Overlay.  see attached email from NDOT indicating that NDOT does not wish to review demolition applications.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",28,-86.6911468,36.08558473,48,37211
