Permit__,Permit_Type_Description,Permit_Subtype_Description,Parcel,Date_Entered,Date_Issued,Const_Cost,Address,City,State,Subdivision_Lot,Contact,Per_Ty,Per_SubTy,IVR_Trk_,Purpose,Council_Dist,Lon,Lat,ObjectId,ZIP
T2022009682,Building Commercial - Rehab,"General Office, Professional Services",09311017000,1644559200000,,0,101 LEA AVE,NASHVILLE,TN,PT LOTS 24-25-26 RUTLEDGE,nayeli serrato,CACR,CAD02B016,4090120,"to conduct interior renovations to existing space for law office. no change to footprint.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",19,-86.77011495,36.15581941,11,37210
T2022009151,Building Commercial - New,"Multifamily, Apt / Twnhome > 5 Unit Bldg",18100008200,1644472800000,,2726875,0 PETTUS RD,ANTIOCH,TN,S SIDE PETTUS RD E OF NOLENSVILLE PIKE,darryl gibson,CACN,CAA03R399,4089309,"Three-Story, 18 unit, residential multi-family structure.  Concrete foundations, wood framing, stone wainscot, cement fiber siding & trim, insulated vinyl windows & fiberglass shingle roofing. 24,183 SF Total Building Area  POC DARRYL GIBSON.  SP Zoning.  3rd Party Plan Review by Municipal Inspection Partners.  MIP POC: Andrew Pieri 615-716-8111 ext 2",31,-86.68495832,35.99750399,12,37013
T2022009746,Building Demolition Permit,Demolition Permit - Commercial,09201001600,1644559200000,,312000,3500 JOHN A MERRITT BLVD,NASHVILLE,TN,N/E COR JOHN A. MERRITT BV AND 37TH AVENUE NORTH & PT OF CL ROW,SUNAGO BUILDERS INC,CADM,CAZ01A002,4090206,"Demolition of interior walls to convert rooms into new Lab for TSU Gentry Center, SBC Project No. 166/001-10-2019 ",21,-86.82886904999998,36.16712706,13,37209
T2021072339,Building Sign Permit,Sign - Ground /  Wall Signs,08314011400,1636524000000,,1275,1629 FATHERLAND ST,NASHVILLE,TN,PT LOT 59 LINDSLEY SUB CHADWELL,Paul Hoffman,CASN,CAZ02A001,4058390,To erect a non-illuminated hanging ground sign. Size to be 6sqft.,6,-86.7399955,36.17330401,14,37206
T2022041451,Building Residential - New,"Accessory Structure, Garage",091132V00100CO,1655787600000,,79684,525 B CROLEY DR,NASHVILLE,TN,UNIT 520 HOMES AT 518 & 520 WEST BEND DRIVE 2ND AMEND,"ESHELMAN CONSTRUCTION,LLC",CARN,CAA14U009,4172240,"To construct garage with 470 Sf of garage, and 470 SF of heated/cooled space.",20,-86.87274420999998,36.15096122,15,37209
T2022009531,Building Residential - New,"Accessory Structure, Pools - Residential",131050I00200CO,1644559200000,,0,213 B LA VISTA DR,NASHVILLE,TN,UNIT 213 THRIVE LAVISTA AMENDED,"NEW BEGINNINGS LANDSCAPE, LLC",CARN,CAA14U017,4089731,"Adding in retaining walls (that may exceed 7 foot tall), a swimming pool (liner), spillover spa, travertine patio, outdoor kitchen area, a steel pergola/trellis over the outdoor kitchen area, and wall lights in the retaining wall. pool alarm purchase attached.  10' min side s/b; 20' min rear s/b.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",34,-86.83050342999998,36.09331356,16,37215
T2022009832,Building Demolition Permit,Demolition Permit - Residential,10416037400,1644732000000,,10000,2304 B BELMONT BLVD,NASHVILLE,TN,PT LOT 121 BELMONT LAND CO,"Riverside Remodeling and Construction, LLC",CADM,CAZ01A001,4090300,"to demolish existing detached garage.  not to be burned on lot.  MHZC must review application.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",18,-86.79363601999998,36.12761452,17,37212
T2022009834,Building Residential - New,"Accessory Structure, Garage",10416037400,1644732000000,,250000,2304 B BELMONT BLVD,NASHVILLE,TN,PT LOT 121 BELMONT LAND CO,"Riverside Remodeling and Construction, LLC",CARN,CAA14U009,4090303,"To construct a DADU with a heated and cooled square footage of 2100 sf with a single car garage.  MHZC must review application.  base zoning of parcel is R8 and parcel contains 11,300 sf lot area.  for every 50' site frontage, a 24  x 36  d/f sign must be placed in English and Spanish with information in regards to metro council bill 2017-835.",18,-86.79363601999998,36.12761452,18,37212
T2022009849,Building Use & Occupancy,"Multifamily, Townhome",07115026000,1644818400000,,0,1233 LISCHEY AVE,NASHVILLE,TN,"PT OF LOT 1. JOE BROWN ESTATES, P/O CLOSED STREET",Duane Cuthbertson,CAUO,CAA03R301,4090320,master permit no construction this permit  4 residential SF dwellings / townhomes  POC DUANE CUTHERBERTSON,5,-86.76305331999998,36.19425421,19,37207
T2022009854,Building Commercial - Rehab,"Multifamily, Tri-Plex, Quad, Apartments",09313058200,1644818400000,,2500000,1505 DEMONBREUN ST,NASHVILLE,TN,LOT 2 LIONSTONE MUSIC CIR LOT 2 REV,caffey lochlin,CACR,CAA03R398,4090326,"Perform interior repairs to building in plumbing riser  wet walls  in most units of the building.    Opening of interior  wet walls . Repairing cracked plumbing lines. Correcting deficiencies in strapping and blocking of plumbing lines to provide clearance from structure. Replacement / correction of incorrectly or incompletely installed fire caulking/firestopping.  Closing up walls, repairing drywall, repainting, and re-installing cabinets. WORK IS DESCRIBED IN PROJECT MANUAL DOCUMENT PACKAGE [TO BE UPLOADED SEPARATELY] POC CAFFEY LOCHLIN.  MDHA AND UDO OVERLAYS.",19,-86.78971982,36.1527588,20,37203
T2022009876,Building Residential - New,"Accessory Structure, Shed / Storage Bldg",08301014100,1644818400000,,7728,1014 SHARPE AVE,NASHVILLE,TN,PT LOT 21 W H HYRONEMUS ADDN,"WAKEFIELD, MARE & OVUNC, TURGUT U.",CARN,CAA14U011,4090349,10’X16’ SHED TO BE LOCATED TO REAR OF EXISTING SINGLE FAMILY RESIDENCE… …5’ MINIMUM SIDE… …20’ MINIMUM REAR SETBACK… …MAXIMUM HEIGHT 16’… …NOT TO BE USED AS LIVING SPACE… …NOT TO BUILD OVER OR OBSTRUCT ANY EASEMENTS ON PROPERTY… …,5,-86.74908327,36.18951223,21,37206
T2022009887,Building Commercial - Rehab,"Multifamily, Tri-Plex, Quad, Apartments",07107017800,1644818400000,,0,204 E TRINITY LN,NASHVILLE,TN,SW COR E TRINITY LN & MERIDIAN ST LUTONS ADDITION,ANDY BERRY,CACR,CAA03R398,4090362,"Addition of elevator, renovation of entry lobby and updates to building after fire damage.  Additional interior and plumbing renovations and interior finish updates.  POC ANDY BERRY",5,-86.76632188,36.20537791,22,37207
T2022009907,Building Commercial - New,"General Office, Professional Services",03000008000,1644818400000,,0,5490 CLARKSVILLE PIKE,WHITES CREEK,TN,S E INTER OF CLARKSVILLE PK AND OLD HICKORY BLVD,Sherrie Gebhardt,CACN,CAD02B016,4090383,"1307 sq ft  storage, 4 office, with conference room, two bathrooms, and break rooms.  POC SHERRIE GEBHARDT",1,-86.87335842,36.27968996,23,37189
T2022010019,Building Residential - Addition,Single Family Residence,05800002900,1645077600000,,453655,4333 EATONS CREEK RD,NASHVILLE,TN,"W OF EATONS CREEK RD, S OF SULPHUR CREEK RD",GODDARD CONSTRUCTION CO LLC,CARA,CAA01R301,4090535,"Add 22'x28' 3 car garage, Add 40'x20' living addition, take the existing house down to the studs: replace all plumbing, wiring, hvac, drywall, ceilings, roof, windows, kitchen/bathrooms,. 10' min. side setback, 20' min. rear setback. not to be over any easements.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",1,-86.86694792,36.21800369,24,37218
T2022010015,Building Demolition Permit,Demolition Permit - Residential,06108005900,1644818400000,,7500,4202 B BRUSH HILL RD,NASHVILLE,TN,PT LOT 3 BLK 2 MCGAUGHEY HAYSBORO SUB & PT CL ST,M SQUARED LLC,CADM,CAZ01A001,4090532,"To demolish structure or structures to finished grade.  not to be buried or burned on site.  ***PURSUANT TO ORDINANCE NO 2008-1263 of the Metropolitan Code of Laws, I , holder of this permit, hereby certify that all construction and demolition waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.  Further, I certify that no construction or demolition waste shall be stored on the property in violation of any provisions of the Metropolitan Code. For every 30 feet of street frontage, or fraction thereof, one 2 inch caliper tree as listed in the Urban Forestry approved tree list shall be planted on the subject property.   For every 50 feet of site frontage, a double-sided sign 24” x 36” in size must be posted in English and Spanish that contains the information required by Ordinance No. 2017-835.  No more than three signs are required.***",7,-86.7127787,36.23032622,25,37216
T2022010022,Building Commercial - Rehab,"Religious Institution, Worship Space",11912002500,1644818400000,,0,2901 GLENCLIFF RD,NASHVILLE,TN,S W CORNER OF GLENCLIFF RD & THOMPSON LANE,JOEY ENGLAND,CACR,CAB10A305,4090556,to update-renovate 4444sf of existing kitchen space  POC JOEY ENGLAND,16,-86.72111536,36.1112762,26,37211
T2022010049,Building Demolition Permit,Demolition Permit - Residential,059160A90000CO,1644818400000,,7200,2607 B WHITES CREEK PIKE,NASHVILLE,TN,COMMON AREA HOMES AT 2607 WHITES CREEK VILLAS,"BELL, INC",CADM,CAZ01A001,4090646,demo of residential house at 2607 Whites creek Pike,2,-86.80163063,36.21739924,27,37207
T2022010134,Building Residential - New,Single Family Residence,02900005700,1644818400000,,1,4051 BERNARD RD,JOELTON,TN,S SIDE BERNARD RD W OF CLARKSVILLE PK,SELF CONTRACTOR RESIDENTIAL (SEE APPLICANT INFORMATION),CARN,CAA01R301,4090784,"To construct a new single family residence with SF of living space, SF garage, and  SF of porches and/or decks. Minimum: 62.7’ street/front contextual setback; 15’ side setback(s); and, 20’ rear setback. Shall not exceed three stories. Must conform to all easements on property.  Sidewalks are required. Individual single and two-family lot tree density standards apply pursuant to M.C.L. 17.24.100, including at least one two-inch caliper tree for each thirty feet of lot frontage (or portion thereof), excluding alley frontage. Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) × 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage. No construction and/or demolition waste shall be stored on the property all such waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill. POC: Roberto Macias Flores, 404-731-4453. Applicant applied for a self-permit and will act as his/her own general contractor with full responsibility for code compliance, for hiring and employing individuals and subcontractors, and with ultimate responsibility for his/her own work and for the work of others. Acting as his/her general contractor, applicant may forfeit certain protections which might be available to him/her through the State of Tennessee general contractor’s licensing process. Applicant, as a self-build permit holder, is further responsible for requesting all required inspections and completing all authorized work in compliance with applicable adopted codes. Separate permits are required for any electrical, plumbing and gas/mechanical work and are not part of the building permit.",1,-86.89091551999998,36.29699791,28,37080
T2022010170,Building Residential - New,Single Family Residence,07215025900,1644818400000,,496901,100 MCKENNELL DR,NASHVILLE,TN,LOT 14 M P ESTES SUB DIV,Bonham Builders LLC,CARN,CAA01R301,4090823," To construct a single family residence at 100A Mckennell Dr. Heated and cooled square footage is 2319 sqft total unheated is 466 sqft garage = 398 sf and porch = 68 sf Setbacks are front 33.89, side 5' and rear 20'. Must comply with tree requirements planting a 2  tree for every 30' of road frontage. for ever 50' of road frontage a 24 x36  sign must be present and be in both English and Spanish per metro council bill 2017-835 and 2014-724 and 770. R6 Zoning",7,-86.72561978999998,36.19321935,29,37206
T2022010171,Building Use & Occupancy,"Accessory Structure, Pools - Residential",13202004400,1644818400000,,0,4008 OVERBROOK DR,NASHVILLE,TN,LOT 11 BROOKHAVEN EST,"MILOSI, INC",CAUO,CAA14U017,4090824,"18' x 12' Shotcrete Pool    Perimeter- Approximately 60'  Pool Depth- 4' Excavation and Forming:  Note: This does not include rock removal. If rock is encountered, the removal and haul off will be additional costs. If floating boulders encountered during excavation affect wall thickness and additional shotcrete is required, additional costs will occur. Removal of dirt as needed to achieve the pool form. Install form boards and supports for pool beam and skimmer  Steel Rebar:  Installation of steel rebar for pool. #4 rebar 12” O.C.  Gas: Provide and install a gas line to the pool  Perform start up per manufacturers recommendations Note: Some clients are required to upgrade an additional gas meter. Plumbing, Pumps, and Filtration:  All plumbing lines will maintain 30 lbs. pressure through construction. Automatic water fill device connected to mainline on irrigation (Note: During the winter while the irrigation system is winterized and inactive, this feature will not be active so water may have to be added manually to spa/pool.) Note: If clients do not irrigate nor wish to move forward with one, the auto-fill line will be stubbed up for future use. 1 skimmer 3 returns  2 main drains  Variable Speed Pump 24V 180 Valve Actuator(s)  Cartridge Filter Extended Life Turbocell  Overflow drain line installed and daylighted into the lawn  Note: Paint all-white PVC black Note: All fittings gray  Shotcrete:  Shotcrete of 4,000 P.S.I. average 8” on floors and walls, 8” minimum in coves and stress areas, and 12” on beam Note: Depending on the time of year and weather, the project may require a minimum of 28 curing time period  Coping:  Approximately 60 LF · 12” x 24  x 2  Silver Travertine Natural Stone Bullnose Coping with Coosa Gray mortar joint  Electrical and Lights:  Installation of all ground wiring for pool shell and halo All necessary electrical conduit included Installation of 3 Color logic Lights and necessary conduit  Tile:  Approximately 60 LF  Furnish and install 6” wa",25,-86.77944266,36.09940757,30,37204
T2022010173,Building Residential - New,Single Family Residence,07215025900,1644818400000,,514845,100 MCKENNELL DR,NASHVILLE,TN,LOT 14 M P ESTES SUB DIV,Bonham Builders LLC,CARN,CAA01R301,4090831," To construct a single family residence at 100B Mckennell Dr. Heated and cooled square footage is 2319 sqft ,total unheated is 558 sqft garage = 398 sf and porches = 160 sf Setbacks are front 20', side 5' and rear 20'. Must comply with tree requirements planting a 2  tree for every 30' of road frontage. for ever 50' of road frontage a 24 x36  sign must be present and be in both English and Spanish per metro council bill 2017-835 and 2014-724 and 770. R6 Zoning",7,-86.72561978999998,36.19321935,31,37206
T2022010354,Building Residential - Addition,Single Family Residence,11711006800,1644904800000,,292424,1619 B GRAYBAR LN,NASHVILLE,TN,S SIDE GRAYBAR LANE E OF BENHAM AVE,"MRB DEVELOPERS, LLC",CARA,CAA01R301,4091059,"TO CONSTRUCT AN 2,152SF ADDITION TO A SINGLE FAMILY RES WITH 1,305SF GARAGE and 723 SF shop space with 971 SF heated cooled space on 2nd level for accessory apartment. LOCATED BEHIND EXISTING HOUSE...SIDES MIN 15'...REAR MIN 20'......MAX HT 3 STORIES..... *WITH AN ACCESSORY APT FOR A FAMILY MEMBER*. RESTRICTIVE COVENANT FOR Accessory Apartment. FOR EVERY 30 FEET OF LOT FRONTAGE, OR FRACTION THEREOF, ONE 2 INCH CALIPER TREE AS LISTED IN THE URBAN FORESTRY APPROVED TREE LIST SHALL BE PLANTED ON THE SUBJECT PROPERTY…THUR LOTS…REQUIRED TO COMPLY WITH 17.24.060 PURSUANT ORDINANCE # 2006-1263 METROPOLITAN CODE OF LAWS, I (THE HOLDER ON THIS PERMIT) HEREBY CERTIFY THAT ALL CONSTRUCTION & DEMOLITION WASTE GENERATED BY ANY & ALL ACTIVITIES GOVERNED BY THIS PERMIT SHALL BE DISPOSED OF IN AN APPROVED LANDFILL. FURTHER, I CERTIFY THAT NO CONSTRUCTION & DEMOLITION WASTE SHALL BE STORED ON THE PROPERTY IN VIOLATION OF ANY PROVISION OF METROPOLITAN CODE…. ****SITE PLAN SENT TO FILE.",25,-86.80316247,36.10993434,32,37215
T2022010395,Building Residential - Rehab,"Multifamily, Apt / Twnhome > 5 Unit Bldg",13500033100,1644904800000,,0,246 VILLAGE GREEN DR,NASHVILLE,TN,TRACT 1 & 2 NASHBORO VILLAGE,BluSky Restoration Contractors,CARR,CAA03R399,4091169,Unit 246 was affected by fire/smoke damage and will need complete rehab.,29,-86.63582038,36.09085207,33,37217
T2022010389,Building Residential - Rehab,"Accessory Structure, Garage",09315036400,1644904800000,,15000,57 LAFAYETTE ST,NASHVILLE,TN,"PT OF LOTS 4.5,6,10 E. FLY SUB",HUFFINE FIRST SERVICE,CARR,CAA14U009,4091146,"Repair roof, cinder block rear exterior wall, replace weather head & meter on rear exterior wall, electrical panel on interior",17,-86.76503442,36.14943081,34,37210
T2022010398,Building Residential - Rehab,"Multifamily, Apt / Twnhome > 5 Unit Bldg",13500033100,1644904800000,,0,424 VILLAGE GREEN DR,NASHVILLE,TN,TRACT 1 & 2 NASHBORO VILLAGE,BluSky Restoration Contractors,CARR,CAA03R399,4091190,Unit 424 was affected by fire/smoke damage and will need complete rehab.,29,-86.63574645,36.09198749,35,37217
T2022010396,Temporary Building Use & Occupancy,Temporary Outdoor Sidewalk Cafe U&O,093060A90000CO,1644904800000,,0,0 DEMONBREUN ST,NASHVILLE,TN,"COMMERCIAL & RESIDENTIAL COMMON AREA  ENCORE, A MASTER CONDOMINIUM",trenton timmons,CACU,CATP_SWC,4091193,sidewalk cafe permit for 2 tables and 4 seats for Jimmy John's.,19,-86.77472532999998,36.15899185,36,37201
T2022010487,Building Residential - New,Single Family Residence,128150C03800CO,1644904800000,,332288,8024 STILL SPRING RIDGE DR,NASHVILLE,TN,LOT 38 STILL SPRINGS RIDGE PH 1 SEC 5,DALAMAR HOMES LLC,CARN,CAA01R301,4091323,"Square Footage Take off as Follows:  First Floor Heated: 1427 SF  Second Floor Heated: 1104 SF   Garage: 501 SF  Stoop: 51 SF  Must conform to all easements on property. Sidewalks are required. Individual single and two-family lot tree density standards apply pursuant to M.C.L. 17.24.100, including at least one two-inch caliper tree for each thirty feet of lot frontage (or portion thereof), excluding alley frontage. Signage must be posted pursuant to M.C.L. 16.28.230, including project information signs, which shall be posted in English and Spanish with one double-sided 24  (vertical) × 36  (horizontal) sign posted for every fifty feet of site frontage, with no more than three signs required per street frontage. No construction and/or demolition waste shall be stored on the property all such waste generated by any and all activities governed by this permit shall be disposed of in an approved landfill.",22,-86.92538014999998,36.08397824,37,37221
T2022010602,Building Residential - New,Single Family Residence,08116070000,1644991200000,,900,929 B WARREN ST,NASHVILLE,TN,PT LOT 15 C M HOLT PLAN,"PUNCHLIST NASHVILLE, LLC",CARN,CAA01R301,4091468,REJECTED: USE NOT PERMITTED IN RS3.75 ZONING DISTRICT. APPLICATION TO BE CANCELLED.    Build a detached home office/studio apartment on owner occupied property located at 929 Warren St,19,-86.79480171999998,36.16973078,38,37208
T2022010745,Building Demolition Permit,Demolition Permit - Residential,081080G00200CO,1644991200000,,7200,1824 A 6TH AVE N,NASHVILLE,TN,UNIT B PROVINCE ON 6TH,STRATTON EXTERIORS INC,CADM,CAZ01A001,4091700,"REJECTED: INCORRECT PERMIT TYPE. MUST USE CARR FOR SCOPE PROVIDED. IF REBUILDING FRONT PORCH AND DECK A CARA PERMIT TYPE REQUIRED WITH SITE PLAN AND STAMPED CONTEXTUAL SURVEY.    Project demolition consists of the following: A) remove existing built-in cabinets in the kitchen, remove the sink in laundry room, remove existing steps and wood columns on the front porch and the rear deck to be demolished. B) Remove countertops, vanities, shower glass door and toilets in the 2nd floor bathrooms. The estimated cost for demo will be $7,200.00",19,-86.79616785999998,36.18482686,39,37208
T2022010833,Building Residential - Addition,Single Family Residence,07116014900,1644991200000,,43325,1315 A MONTGOMERY AVE,NASHVILLE,TN,E SIDE MONTGOMERY AVE S OF CROCKETT ST,KEA PROPERTIES LLC,CARA,CAA01R301,4091815,"TO CONDUCT INTERIOR RENOVATIONS TO EXISTING SINGLE-FAMILY RESIDENCE… …NO CHANGE TO BUILDING/ROOF LINES OR FOOTPRINT… …NO SECOND KITCHEN, TO REMAIN SINGLE FAMILY RESIDENCE… …    Adding square footage without changing footprint. Master Suite addition includes bathroom, bedroom, electrical, hvac and plumbing",5,-86.75541422,36.19520166,40,37207
T2022010882,Building Residential - Rehab,Single Family Residence,14500014400,1645077600000,,308000,1828 TYNE BLVD,NASHVILLE,TN,LOT 2 CROW SUBDIVISION 1ST REV,ACCESS & MOBILITY INC,CARR,CAA01R301,4091865,"kitchen, pantry, laundry, and master bathroom renovation",34,-86.83122815999998,36.07278994,41,37215
